"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"      
          0,           0,          77,      -3.111778799,      -0.411778799,      -1.311778799,       1.488221201,       0.288221201,       6.588221201
          0,           0,          78,      -3.121871215,      -0.421871215,      -1.321871215,       1.478128785,       0.278128785,       6.578128785
          0,           0,          79,      -3.131952423,      -0.431952423,      -1.331952423,       1.468047577,       0.268047577,       6.568047577
          0,           0,          80,      -3.142022436,      -0.442022436,      -1.342022436,       1.457977564,       0.257977564,       6.557977564
          0,           0,          81,      -3.152081266,      -0.452081266,      -1.352081266,       1.447918734,       0.247918734,       6.547918734
          0,           0,          82,      -3.162128926,      -0.462128926,      -1.362128926,       1.437871074,       0.237871074,       6.537871074
          0,           0,          83,      -3.172165428,      -0.472165428,      -1.372165428,       1.427834572,       0.227834572,       6.527834572
          0,           0,          84,      -3.182190785,      -0.482190785,      -1.382190785,       1.417809215,       0.217809215,       6.517809215
          0,           0,          85,      -3.192205008,      -0.492205008,      -1.392205008,       1.407794992,       0.207794992,       6.507794992
          0,           0,          86,      -3.202208111,      -0.502208111,      -1.402208111,       1.397791889,       0.197791889,       6.497791889
          0,           0,          87,      -3.212200105,      -0.512200105,      -1.412200105,       1.387799895,       0.187799895,       6.487799895
          0,           0,          88,      -3.222181004,      -0.522181004,      -1.422181004,       1.377818996,       0.177818996,       6.477818996
          0,           0,          89,      -3.232150818,      -0.532150818,      -1.432150818,       1.367849182,       0.167849182,       6.467849182
          0,           0,          90,      -3.242109561,      -0.542109561,      -1.442109561,       1.357890439,       0.157890439,       6.457890439
          0,           0,          91,      -3.252057246,      -0.552057246,      -1.452057246,       1.347942754,       0.147942754,       6.447942754
          0,           0,          92,      -3.261993883,      -0.561993883,      -1.461993883,       1.338006117,       0.138006117,       6.438006117
          0,           0,          93,      -3.271919485,      -0.571919485,      -1.471919485,       1.328080515,       0.128080515,       6.428080515
          0,           0,          94,      -3.281834066,      -0.581834066,      -1.481834066,       1.318165934,       0.118165934,       6.418165934
          0,           0,          95,      -3.291737636,      -0.591737636,      -1.491737636,       1.308262364,       0.108262364,       6.408262364
          0,           0,          96,      -3.301630208,      -0.601630208,      -1.501630208,       1.298369792,       0.098369792,       6.398369792
          0,           0,          97,      -3.311511795,      -0.611511795,      -1.511511795,       1.288488205,       0.088488205,       6.388488205
          0,           0,          98,      -3.321382409,      -0.621382409,      -1.521382409,       1.278617591,       0.078617591,       6.378617591
          0,           0,          99,      -3.331242061,      -0.631242061,      -1.531242061,       1.268757939,       0.068757939,       6.368757939
          0,           0,         100,      -3.341090764,      -0.641090764,      -1.541090764,       1.258909236,       0.058909236,       6.358909236
          0,           0,         101,      -3.350928530,      -0.650928530,      -1.550928530,       1.249071470,       0.049071470,       6.349071470
          0,           0,         102,      -3.360755371,      -0.660755371,      -1.560755371,       1.239244629,       0.039244629,       6.339244629
          0,           0,         103,      -3.370571299,      -0.670571299,      -1.570571299,       1.229428701,       0.029428701,       6.329428701
          0,           0,         104,      -3.380376328,      -0.680376328,      -1.580376328,       1.219623672,       0.019623672,       6.319623672
          0,           0,         105,      -3.390170467,      -0.690170467,      -1.590170467,       1.209829533,       0.009829533,       6.309829533
          0,           0,         106,      -3.399953731,      -0.699953731,      -1.599953731,       1.200046269,       0.000046269,       6.300046269
          0,           0,         107,      -3.409726130,      -0.709726130,      -1.609726130,       1.190273870,      -0.009726130,       6.290273870
          0,           0,         108,      -3.419487677,      -0.719487677,      -1.619487677,       1.180512323,      -0.019487677,       6.280512323
          0,           0,         109,      -3.429238383,      -0.729238383,      -1.629238383,       1.170761617,      -0.029238383,       6.270761617
          0,           0,         110,      -3.438978262,      -0.738978262,      -1.638978262,       1.161021738,      -0.038978262,       6.261021738
          0,           0,         111,      -3.448707324,      -0.748707324,      -1.648707324,       1.151292676,      -0.048707324,       6.251292676
          0,           0,         112,      -3.458425583,      -0.758425583,      -1.658425583,       1.141574417,      -0.058425583,       6.241574417
          0,           0,         113,      -3.468133049,      -0.768133049,      -1.668133049,       1.131866951,      -0.068133049,       6.231866951
          0,           0,         114,      -3.477829736,      -0.777829736,      -1.677829736,       1.122170264,      -0.077829736,       6.222170264
          0,           0,         115,      -3.487515654,      -0.787515654,      -1.687515654,       1.112484346,      -0.087515654,       6.212484346
          0,           0,         116,      -3.497190816,      -0.797190816,      -1.697190816,       1.102809184,      -0.097190816,       6.202809184
          0,           0,         117,      -3.506855234,      -0.806855234,      -1.706855234,       1.093144766,      -0.106855234,       6.193144766
          0,           0,         118,      -3.516508919,      -0.816508919,      -1.716508919,       1.083491081,      -0.116508919,       6.183491081
          0,           0,         119,      -3.526151885,      -0.826151885,      -1.726151885,       1.073848115,      -0.126151885,       6.173848115
          0,           0,         120,      -3.535784141,      -0.835784141,      -1.735784141,       1.064215859,      -0.135784141,       6.164215859
          0,           0,         121,      -3.545405702,      -0.845405702,      -1.745405702,       1.054594298,      -0.145405702,       6.154594298
          0,           0,         122,      -3.555016577,      -0.855016577,      -1.755016577,       1.044983423,      -0.155016577,       6.144983423
          0,           0,         123,      -3.564616780,      -0.864616780,      -1.764616780,       1.035383220,      -0.164616780,       6.135383220
          0,           0,         124,      -3.574206322,      -0.874206322,      -1.774206322,       1.025793678,      -0.174206322,       6.125793678
          0,           0,         125,      -3.583785214,      -0.883785214,      -1.783785214,       1.016214786,      -0.183785214,       6.116214786
          0,           0,         126,      -3.593353470,      -0.893353470,      -1.793353470,       1.006646530,      -0.193353470,       6.106646530
          0,           0,         127,      -3.602911099,      -0.902911099,      -1.802911099,       0.997088901,      -0.202911099,       6.097088901
          0,           0,         128,      -3.612458115,      -0.912458115,      -1.812458115,       0.987541885,      -0.212458115,       6.087541885
          0,           0,         129,      -3.621994530,      -0.921994530,      -1.821994530,       0.978005470,      -0.221994530,       6.078005470
          0,           0,         130,      -3.631520354,      -0.931520354,      -1.831520354,       0.968479646,      -0.231520354,       6.068479646
          0,           0,         131,      -3.641035599,      -0.941035599,      -1.841035599,       0.958964401,      -0.241035599,       6.058964401
          0,           0,         132,      -3.650540279,      -0.950540279,      -1.850540279,       0.949459721,      -0.250540279,       6.049459721
          0,           0,         133,      -3.660034403,      -0.960034403,      -1.860034403,       0.939965597,      -0.260034403,       6.039965597
          0,           0,         134,      -3.669517984,      -0.969517984,      -1.869517984,       0.930482016,      -0.269517984,       6.030482016
          0,           0,         135,      -3.678991033,      -0.978991033,      -1.878991033,       0.921008967,      -0.278991033,       6.021008967
          0,           0,         136,      -3.688453563,      -0.988453563,      -1.888453563,       0.911546437,      -0.288453563,       6.011546437
          0,           0,         137,      -3.697905585,      -0.997905585,      -1.897905585,       0.902094415,      -0.297905585,       6.002094415
          0,           0,         138,      -3.707347110,      -1.007347110,      -1.907347110,       0.892652890,      -0.307347110,       5.992652890
          0,           0,         139,      -3.716778151,      -1.016778151,      -1.916778151,       0.883221849,      -0.316778151,       5.983221849
          0,           0,         140,      -3.726198718,      -1.026198718,      -1.926198718,       0.873801282,      -0.326198718,       5.973801282
          0,           0,         141,      -3.735608824,      -1.035608824,      -1.935608824,       0.864391176,      -0.335608824,       5.964391176
          0,           0,         142,      -3.745008480,      -1.045008480,      -1.945008480,       0.854991520,      -0.345008480,       5.954991520
          0,           0,         143,      -3.754397698,      -1.054397698,      -1.954397698,       0.845602302,      -0.354397698,       5.945602302
          0,           0,         144,      -3.763776489,      -1.063776489,      -1.963776489,       0.836223511,      -0.363776489,       5.936223511
          0,           0,         145,      -3.773144865,      -1.073144865,      -1.973144865,       0.826855135,      -0.373144865,       5.926855135
          0,           0,         146,      -3.782502838,      -1.082502838,      -1.982502838,       0.817497162,      -0.382502838,       5.917497162
          0,           0,         147,      -3.791850418,      -1.091850418,      -1.991850418,       0.808149582,      -0.391850418,       5.908149582
          0,           0,         148,      -3.801187619,      -1.101187619,      -2.001187619,       0.798812381,      -0.401187619,       5.898812381
          0,           0,         149,      -3.810514450,      -1.110514450,      -2.010514450,       0.789485550,      -0.410514450,       5.889485550
          0,           0,         150,      -3.819830924,      -1.119830924,      -2.019830924,       0.780169076,      -0.419830924,       5.880169076
          0,           0,         151,      -3.829137052,      -1.129137052,      -2.029137052,       0.770862948,      -0.429137052,       5.870862948
          0,           0,         152,      -3.838432845,      -1.138432845,      -2.038432845,       0.761567155,      -0.438432845,       5.861567155
          0,           0,         153,      -3.847718316,      -1.147718316,      -2.047718316,       0.752281684,      -0.447718316,       5.852281684
          0,           0,         154,      -3.856993475,      -1.156993475,      -2.056993475,       0.743006525,      -0.456993475,       5.843006525
          0,           0,         155,      -3.866258334,      -1.166258334,      -2.066258334,       0.733741666,      -0.466258334,       5.833741666
          0,           0,         156,      -3.875512905,      -1.175512905,      -2.075512905,       0.724487095,      -0.475512905,       5.824487095
          0,           0,         157,      -3.884757198,      -1.184757198,      -2.084757198,       0.715242802,      -0.484757198,       5.815242802
          0,           0,         158,      -3.893991226,      -1.193991226,      -2.093991226,       0.706008774,      -0.493991226,       5.806008774
          0,           0,         159,      -3.903214999,      -1.203214999,      -2.103214999,       0.696785001,      -0.503214999,       5.796785001
          0,           0,         160,      -3.912428530,      -1.212428530,      -2.112428530,       0.687571470,      -0.512428530,       5.787571470
          0,           0,         161,      -3.921631828,      -1.221631828,      -2.121631828,       0.678368172,      -0.521631828,       5.778368172
          0,           0,         162,      -3.930824907,      -1.230824907,      -2.130824907,       0.669175093,      -0.530824907,       5.769175093
          0,           0,         163,      -3.940007777,      -1.240007777,      -2.140007777,       0.659992223,      -0.540007777,       5.759992223
          0,           0,         164,      -3.949180449,      -1.249180449,      -2.149180449,       0.650819551,      -0.549180449,       5.750819551
          0,           0,         165,      -3.958342935,      -1.258342935,      -2.158342935,       0.641657065,      -0.558342935,       5.741657065
          0,           0,         166,      -3.967495246,      -1.267495246,      -2.167495246,       0.632504754,      -0.567495246,       5.732504754
          0,           0,         167,      -3.976637394,      -1.276637394,      -2.176637394,       0.623362606,      -0.576637394,       5.723362606
          0,           0,         168,      -3.985769389,      -1.285769389,      -2.185769389,       0.614230611,      -0.585769389,       5.714230611
          0,           0,         169,      -3.994891243,      -1.294891243,      -2.194891243,       0.605108757,      -0.594891243,       5.705108757
          0,           0,         170,      -4.004002968,      -1.304002968,      -2.204002968,       0.595997032,      -0.604002968,       5.695997032
          0,           0,         171,      -4.013104574,      -1.313104574,      -2.213104574,       0.586895426,      -0.613104574,       5.686895426
          0,           0,         172,      -4.022196073,      -1.322196073,      -2.222196073,       0.577803927,      -0.622196073,       5.677803927
          0,           0,         173,      -4.031277475,      -1.331277475,      -2.231277475,       0.568722525,      -0.631277475,       5.668722525
          0,           0,         174,      -4.040348793,      -1.340348793,      -2.240348793,       0.559651207,      -0.640348793,       5.659651207
          0,           0,         175,      -4.049410037,      -1.349410037,      -2.249410037,       0.550589963,      -0.649410037,       5.650589963
          0,           0,         176,      -4.058461219,      -1.358461219,      -2.258461219,       0.541538781,      -0.658461219,       5.641538781
          0,           0,         177,      -4.067502349,      -1.367502349,      -2.267502349,       0.532497651,      -0.667502349,       5.632497651
          0,           0,         178,      -4.076533440,      -1.376533440,      -2.276533440,       0.523466560,      -0.676533440,       5.623466560
          0,           0,         179,      -4.085554501,      -1.385554501,      -2.285554501,       0.514445499,      -0.685554501,       5.614445499
          0,           0,         180,      -4.094565545,      -1.394565545,      -2.294565545,       0.505434455,      -0.694565545,       5.605434455
          0,           0,         181,      -4.103566581,      -1.403566581,      -2.303566581,       0.496433419,      -0.703566581,       5.596433419
          0,           0,         182,      -4.112557622,      -1.412557622,      -2.312557622,       0.487442378,      -0.712557622,       5.587442378
          0,           0,         183,      -4.121538679,      -1.421538679,      -2.321538679,       0.478461321,      -0.721538679,       5.578461321
          0,           0,         184,      -4.130509762,      -1.430509762,      -2.330509762,       0.469490238,      -0.730509762,       5.569490238
          0,           0,         185,      -4.139470883,      -1.439470883,      -2.339470883,       0.460529117,      -0.739470883,       5.560529117
          0,           0,         186,      -4.148422053,      -1.448422053,      -2.348422053,       0.451577947,      -0.748422053,       5.551577947
          0,           0,         187,      -4.157363283,      -1.457363283,      -2.357363283,       0.442636717,      -0.757363283,       5.542636717
          0,           0,         188,      -4.166294583,      -1.466294583,      -2.366294583,       0.433705417,      -0.766294583,       5.533705417
          0,           0,         189,      -4.175215965,      -1.475215965,      -2.375215965,       0.424784035,      -0.775215965,       5.524784035
          0,           0,         190,      -4.184127440,      -1.484127440,      -2.384127440,       0.415872560,      -0.784127440,       5.515872560
          0,           0,         191,      -4.193029019,      -1.493029019,      -2.393029019,       0.406970981,      -0.793029019,       5.506970981
          0,           0,         192,      -4.201920712,      -1.501920712,      -2.401920712,       0.398079288,      -0.801920712,       5.498079288
          0,           0,         193,      -4.210802532,      -1.510802532,      -2.410802532,       0.389197468,      -0.810802532,       5.489197468
          0,           0,         194,      -4.219674488,      -1.519674488,      -2.419674488,       0.380325512,      -0.819674488,       5.480325512
          0,           0,         195,      -4.228536592,      -1.528536592,      -2.428536592,       0.371463408,      -0.828536592,       5.471463408
          0,           0,         196,      -4.237388855,      -1.537388855,      -2.437388855,       0.362611145,      -0.837388855,       5.462611145
          0,           0,         197,      -4.246231287,      -1.546231287,      -2.446231287,       0.353768713,      -0.846231287,       5.453768713
          0,           0,         198,      -4.255063900,      -1.555063900,      -2.455063900,       0.344936100,      -0.855063900,       5.444936100
          0,           0,         199,      -4.263886704,      -1.563886704,      -2.463886704,       0.336113296,      -0.863886704,       5.436113296
          0,           0,         200,      -4.272699711,      -1.572699711,      -2.472699711,       0.327300289,      -0.872699711,       5.427300289
          0,           0,         201,      -4.281502931,      -1.581502931,      -2.481502931,       0.318497069,      -0.881502931,       5.418497069
          0,           0,         202,      -4.290296375,      -1.590296375,      -2.490296375,       0.309703625,      -0.890296375,       5.409703625
          0,           0,         203,      -4.299080054,      -1.599080054,      -2.499080054,       0.300919946,      -0.899080054,       5.400919946
          0,           0,         204,      -4.307853978,      -1.607853978,      -2.507853978,       0.292146022,      -0.907853978,       5.392146022
          0,           0,         205,      -4.316618160,      -1.616618160,      -2.516618160,       0.283381840,      -0.916618160,       5.383381840
          0,           0,         206,      -4.325372608,      -1.625372608,      -2.525372608,       0.274627392,      -0.925372608,       5.374627392
          0,           0,         207,      -4.334117335,      -1.634117335,      -2.534117335,       0.265882665,      -0.934117335,       5.365882665
          0,           0,         208,      -4.342852351,      -1.642852351,      -2.542852351,       0.257147649,      -0.942852351,       5.357147649
          0,           0,         209,      -4.351577667,      -1.651577667,      -2.551577667,       0.248422333,      -0.951577667,       5.348422333
          0,           0,         210,      -4.360293293,      -1.660293293,      -2.560293293,       0.239706707,      -0.960293293,       5.339706707
          0,           0,         211,      -4.368999241,      -1.668999241,      -2.568999241,       0.231000759,      -0.968999241,       5.331000759
          0,           0,         212,      -4.377695521,      -1.677695521,      -2.577695521,       0.222304479,      -0.977695521,       5.322304479
          0,           0,         213,      -4.386382143,      -1.686382143,      -2.586382143,       0.213617857,      -0.986382143,       5.313617857
          0,           0,         214,      -4.395059120,      -1.695059120,      -2.595059120,       0.204940880,      -0.995059120,       5.304940880
          0,           0,         215,      -4.403726460,      -1.703726460,      -2.603726460,       0.196273540,      -1.003726460,       5.296273540
          0,           0,         216,      -4.412384175,      -1.712384175,      -2.612384175,       0.187615825,      -1.012384175,       5.287615825
          0,           0,         217,      -4.421032277,      -1.721032277,      -2.621032277,       0.178967723,      -1.021032277,       5.278967723
          0,           0,         218,      -4.429670774,      -1.729670774,      -2.629670774,       0.170329226,      -1.029670774,       5.270329226
          0,           0,         219,      -4.438299678,      -1.738299678,      -2.638299678,       0.161700322,      -1.038299678,       5.261700322
          0,           0,         220,      -4.446919000,      -1.746919000,      -2.646919000,       0.153081000,      -1.046919000,       5.253081000
          0,           0,         221,      -4.455528751,      -1.755528751,      -2.655528751,       0.144471249,      -1.055528751,       5.244471249
          0,           0,         222,      -4.464128940,      -1.764128940,      -2.664128940,       0.135871060,      -1.064128940,       5.235871060
          0,           0,         223,      -4.472719579,      -1.772719579,      -2.672719579,       0.127280421,      -1.072719579,       5.227280421
          0,           0,         224,      -4.481300678,      -1.781300678,      -2.681300678,       0.118699322,      -1.081300678,       5.218699322
          0,           0,         225,      -4.489872248,      -1.789872248,      -2.689872248,       0.110127752,      -1.089872248,       5.210127752
          0,           0,         226,      -4.498434299,      -1.798434299,      -2.698434299,       0.101565701,      -1.098434299,       5.201565701
          0,           0,         227,      -4.506986842,      -1.806986842,      -2.706986842,       0.093013158,      -1.106986842,       5.193013158
          0,           0,         228,      -4.515529887,      -1.815529887,      -2.715529887,       0.084470113,      -1.115529887,       5.184470113
          0,           0,         229,      -4.524063445,      -1.824063445,      -2.724063445,       0.075936555,      -1.124063445,       5.175936555
          0,           0,         230,      -4.532587527,      -1.832587527,      -2.732587527,       0.067412473,      -1.132587527,       5.167412473
          0,           0,         231,      -4.541102143,      -1.841102143,      -2.741102143,       0.058897857,      -1.141102143,       5.158897857
          0,           0,         232,      -4.549607304,      -1.849607304,      -2.749607304,       0.050392696,      -1.149607304,       5.150392696
          0,           0,         233,      -4.558103019,      -1.858103019,      -2.758103019,       0.041896981,      -1.158103019,       5.141896981
          0,           0,         234,      -4.566589301,      -1.866589301,      -2.766589301,       0.033410699,      -1.166589301,       5.133410699
          0,           0,         235,      -4.575066158,      -1.875066158,      -2.775066158,       0.024933842,      -1.175066158,       5.124933842
          0,           0,         236,      -4.583533601,      -1.883533601,      -2.783533601,       0.016466399,      -1.183533601,       5.116466399
          0,           0,         237,      -4.591991642,      -1.891991642,      -2.791991642,       0.008008358,      -1.191991642,       5.108008358
          0,           0,         238,      -4.600440290,      -1.900440290,      -2.800440290,      -0.000440290,      -1.200440290,       5.099559710
          0,           0,         239,      -4.608879556,      -1.908879556,      -2.808879556,      -0.008879556,      -1.208879556,       5.091120444
          0,           0,         240,      -4.617309450,      -1.917309450,      -2.817309450,      -0.017309450,      -1.217309450,       5.082690550
          0,           0,         241,      -4.625729983,      -1.925729983,      -2.825729983,      -0.025729983,      -1.225729983,       5.074270017
          0,           0,         242,      -4.634141165,      -1.934141165,      -2.834141165,      -0.034141165,      -1.234141165,       5.065858835
          0,           0,         243,      -4.642543006,      -1.942543006,      -2.842543006,      -0.042543006,      -1.242543006,       5.057456994
          0,           0,         244,      -4.650935517,      -1.950935517,      -2.850935517,      -0.050935517,      -1.250935517,       5.049064483
          0,           0,         245,      -4.659318708,      -1.959318708,      -2.859318708,      -0.059318708,      -1.259318708,       5.040681292
          0,           0,         246,      -4.667692590,      -1.967692590,      -2.867692590,      -0.067692590,      -1.267692590,       5.032307410
          0,           0,         247,      -4.676057173,      -1.976057173,      -2.876057173,      -0.076057173,      -1.276057173,       5.023942827
          0,           0,         248,      -4.684412467,      -1.984412467,      -2.884412467,      -0.084412467,      -1.284412467,       5.015587533
          0,           0,         249,      -4.692758482,      -1.992758482,      -2.892758482,      -0.092758482,      -1.292758482,       5.007241518
          0,           0,         250,      -4.701095229,      -2.001095229,      -2.901095229,      -0.101095229,      -1.301095229,       4.998904771
          0,           0,         251,      -4.709422718,      -2.009422718,      -2.909422718,      -0.109422718,      -1.309422718,       4.990577282
          0,           0,         252,      -4.717740960,      -2.017740960,      -2.917740960,      -0.117740960,      -1.317740960,       4.982259040
